@relation titanic_real

@attribute Survived {0, 1}
@attribute Pclass numeric
@attribute Sex numeric
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,B,Q}

@data
1,2,1,50,1,2,65,S
1,2,1,56,0,0,16,S
0,2,0,24,2,0,73.1,S
0,2,0,30,2,0,73.1,S
0,2,0,21,2,0,73.1,S
0,1,0,44,0,0,51.1703,S
0,2,1,18,1,1,13,S
0,1,0,55,0,0,50,S
1,1,1,17,0,1,57.1907,C
1,1,1,44,0,1,57.1907,C
1,3,1,2,0,1,12.0509,S
1,3,1,22,1,1,12.0509,S
1,2,1,20,2,1,23,S
0,2,0,24,2,1,11.1,S
0,2,0,36,0,0,13,S
1,2,1,54,1,3,23,S
0,2,0,50,0,0,13,S
1,1,1,51,1,0,77.1902,C
1,2,1,29,1,0,26,S
0,2,0,44,1,0,26,S
0,3,0,43,0,0,6.09,S
0,3,0,18,0,0,22.1006,S
0,1,0,42,1,0,52,S
1,1,1,35,1,0,52,S
1,1,0,40,0,0,26.11,S
1,3,1,27,0,0,7.1806,S
0,2,0,21,0,0,73.1,S
0,3,0,22,0,0,7.15,Q
1,2,0,41,0,0,13,S
1,3,1,26,0,0,8.01,S
0,2,0,63,1,0,26,S
0,2,1,61,1,0,26,S
1,1,0,38,1,0,100,S
1,1,1,31,1,0,100,S
0,1,0,43,0,0,30.1311,C
0,3,0,42,0,0,7.13,S
0,2,0,21,?,?,?,S
0,2,0,34,0,0,12.0506,S
1,3,0,34,0,0,7.1709,S
0,3,0,11,0,0,18.1509,C
1,3,1,18,0,0,7.0407,C
0,3,0,33,0,0,14.0902,C
1,1,1,39,0,0,80,S
1,2,1,17,0,0,10.1,S
0,3,0,32,0,0,7.1711,S
0,3,1,17,1,0,7.1806,S
0,3,1,25,1,0,7.1806,S
0,1,1,50,0,0,28.1403,C
1,1,0,49,0,0,?,S
0,3,0,20,0,0,7.1711,S
0,3,1,16,1,0,14.0901,C
0,3,1,19,1,0,14.0901,C
1,2,1,24,2,1,27,S
0,2,0,42,1,0,27,S
1,3,0,30,0,0,7.1711,C
1,3,0,21,0,0,7.1511,S
0,3,0,21,0,0,7.01,S
0,2,0,46,0,0,15,S
0,2,0,24,2,0,31.1,S
0,2,0,21,2,0,31.1,S
0,2,0,32,0,0,10.1,S
0,3,0,20,0,0,7.1701,S
0,3,0,48,0,0,7.0101,S
0,3,0,17,1,0,7.1701,S
1,3,1,26,0,0,7.15,Q
1,2,1,23,0,0,13.151,C
1,3,0,29,0,0,8.0203,S
0,3,0,34,0,0,6.0911,S
0,3,0,22,0,0,7.1511,S
0,3,0,33,0,0,8.1301,S
0,3,0,31,0,0,7.1506,S
0,3,0,29,0,0,7.1701,S
1,3,0,26,0,0,7.1506,S
1,3,0,4,1,1,11.0208,S
1,3,1,1,1,1,11.0208,S
0,3,0,49,?,?,?,S
0,3,0,33,0,0,7.1506,S
1,3,1,26,0,2,11.0208,S
0,3,0,19,0,0,?,S
0,3,0,8,1,2,23.09,S
0,3,1,7,1,2,23.09,S
0,3,0,35,1,2,23.09,S
0,3,1,36,1,2,23.09,S
0,1,0,46,0,0,26,S
0,3,0,23,0,0,7.1711,S
1,3,0,25,0,0,7.1701,S
0,3,0,27,0,0,7.1701,S
0,3,0,39,0,2,7.0407,C
0,1,0,50,0,0,26,S
0,3,1,20,1,0,9.161,S
0,3,1,21,1,0,9.161,S
1,3,0,32,0,0,7.1806,S
0,3,0,17,0,0,7.0206,S
0,3,0,21,0,0,8.0808,S
0,2,0,34,1,0,26,S
1,2,1,24,1,0,26,S
0,3,0,30,0,0,7.1711,S
1,3,0,21,0,0,7.1511,S
0,3,0,33,0,0,7.1701,S
0,3,0,22,0,0,7.1005,S
0,2,1,22,0,0,21,S
1,3,1,5,0,1,13.0804,C
1,3,0,39,0,1,13.0804,C
0,3,0,19,0,0,7.0407,C
1,2,1,46,0,0,12.07,Q
0,3,0,23,0,0,7.15,Q
0,2,0,35,0,0,12.07,Q
0,3,0,39,0,0,7.05,S
0,1,0,33,0,0,211.1,S
1,3,1,20,0,0,7.15,Q
1,3,1,22,0,0,7.15,Q
0,3,0,19,0,0,8.01,S
0,3,0,44,0,0,7.1607,Q
0,?,0,44,?,?,?,S
1,2,1,49,0,0,13.1,S
1,3,0,24,0,0,7.15,Q
0,1,0,58,0,0,29.14,C
0,1,0,41,1,0,51.1703,S
1,1,1,40,1,0,51.1703,S
0,3,0,25,1,0,14.0901,C
0,3,1,20,1,0,14.0901,C
0,3,0,25,1,0,7.15,Q
0,3,0,22,1,0,7.15,Q
0,3,0,22,0,0,7.1409,Q
1,1,0,42,1,0,52.1101,S
1,1,1,45,1,0,52.1101,S
1,3,1,4,0,2,22,S
1,3,1,26,1,1,22,S
0,3,1,23,2,0,8.1303,S
1,3,0,29,3,1,22,S
0,3,0,26,2,0,8.1303,S
0,2,0,52,0,0,12.07,Q
0,1,0,41,0,0,26.11,S
0,3,1,1,1,1,12.0308,S
0,3,0,18,1,1,7.1701,S
0,3,1,36,0,2,12.0308,S
0,2,0,41,0,0,?,B
0,3,0,?,0,0,7.1711,C
1,3,0,25,0,0,7.0407,C
1,1,1,29,0,0,211.0609,S
0,2,0,23,?,?,?,S
0,3,0,26,0,0,7.11,S
0,2,0,31,0,0,10.1,S
0,3,0,35,0,0,7.0406,C
0,2,0,35,1,1,26,S
0,2,1,34,1,1,26,S
0,3,1,37,0,0,9.1109,S
0,2,0,31,0,0,10.1402,Q
1,3,0,38,0,0,56.0911,S
0,3,0,23,0,0,56.0911,S
1,3,1,22,0,0,7.05,S
0,3,0,17,0,0,7.15,Q
1,3,0,32,0,0,56.0911,S
1,2,1,1,1,2,41.1107,C
1,2,1,3,1,2,41.1107,C
0,2,0,25,1,2,41.1107,C
1,2,1,22,1,2,41.1107,C
0,3,0,29,0,0,9.0908,S
0,3,0,29,0,0,7.1506,S
0,3,0,22,0,0,7.1506,S
1,1,1,49,0,0,25.1807,S
0,3,0,5,3,1,25.0904,S
0,3,1,3,3,1,25.0904,S
0,3,1,8,3,1,25.0904,S
0,3,1,12,3,1,25.0904,S
0,3,1,40,0,4,25.0904,S
1,2,1,17,0,0,12,C
0,3,0,32,0,0,7.1806,S
1,2,1,31,0,0,33,S
1,2,1,39,0,0,10.1,S
0,3,1,18,1,0,15.1,Q
0,3,0,20,1,0,15.1,Q
1,1,1,27,0,0,106.0806,C
0,3,0,41,0,0,24.03,S
1,1,0,35,0,0,512.0607,C
0,2,0,37,0,0,12.1706,S
0,1,0,30,0,0,27.1405,C
0,2,0,25,0,0,10.1,S
0,3,0,24,0,0,9.1,S
0,3,1,25,0,0,7.1506,S
0,3,1,45,0,0,7.15,S
0,1,0,42,0,0,26.11,S
0,3,0,36,1,0,15.11,S
0,3,1,30,1,0,15.11,S
1,3,0,20,1,0,7.1806,S
1,1,1,55,0,0,27.1405,C
0,3,0,21,0,0,7.1707,Q
1,1,1,16,0,1,39.08,C
1,1,1,50,0,1,39.08,C
0,2,0,61,0,0,12.07,Q
0,3,0,28,0,0,56.0911,S
0,3,0,27,0,0,9.1,S
0,3,0,25,0,0,7.05,S
0,3,1,34,1,0,16.02,S
0,3,0,31,1,0,16.02,S
0,3,0,19,0,0,7.1707,S
1,1,1,21,0,0,77.1902,C
0,1,0,29,0,0,30,S
0,1,0,30,0,0,45.1,S
0,2,0,50,1,0,26,S
1,2,1,43,1,0,26,S
0,3,0,20,0,0,7.05,S
1,3,0,29,0,0,8.1303,S
0,3,0,50,0,0,7.0101,S
1,3,1,23,0,0,7.1701,S
1,3,0,32,0,0,7.1107,S
1,1,1,59,0,0,146.1005,C
0,3,0,30,0,0,6.0809,C
0,3,0,44,0,0,7.1711,S
0,3,0,20,0,0,7.11,S
0,2,1,57,0,0,10.1,S
1,3,1,21,0,0,7.15,Q
1,1,1,16,0,1,211.0609,S
1,3,0,24,0,0,7.021,S
0,3,0,22,0,0,7.0206,S
0,1,0,30,0,0,26,S
0,3,1,20,0,0,7.1707,Q
1,1,1,20,0,0,86.1,S
0,3,0,34,0,0,8.01,S
0,3,0,29,0,0,7.1806,S
